"Checkout checkbox check mark color","Checkout ausgewählte Kontrollhäkchen Farbe"
"Checkout header color","Checkout Überschriftfarbe"
"Checkout link color","Checkout Linkfarbe"
"Example: #0072CC","Beispiel: #0072CC"
"PayPal Express","PayPal Express"
"Checkout using PayPal.","Checkout mit PayPal."
"Newsletter Signup",Newsletter-Anmeldung
"Signup to our newsletter","Melden Sie sich für unseren Newsletter an"
"Create Account","Kundenkonto erstellen"
"Create account for faster checkout next time","Erstellen Sie ein Kundenkonto, um das nächste Mal schneller zu bestellen"
"We use Kustom Checkout as our checkout, which offers a simplified purchase experience. When you choose to go to the checkout, your email address, first name, last name, date of birth, address and phone number may be automatically transferred to Kustom Bank AB (publ), enabling the provision of Kustom Checkout. <a href='%1' target='_blank'>These User Terms</a> apply for the use of Kustom Checkout.","Wir nutzen Kustom Checkout als Kasse, um Ihnen ein reibungsloses Einkaufserlebnis zu bieten. Wenn Sie zur Kasse gehen, werden Ihre Angaben wie E-Mail-Adresse, Vor- und Nachname, Geburtsdatum, Adresse und Telefonnummer eventuell automatisch an die Kustom Bank AB (publ) übertragen, um den Kustom Checkout zu ermöglichen. <a href='%1' target='_blank'>Diese AGB</a> gelten für die Nutzung von Kustom Checkout."
"C/O ",c/o
"Fill Address Details","Adressangaben ausfüllen"
"Apply the terms of use for data transmission","Nutzungsbedingungen für die Datenübertragung akzeptieren"
"Packstation Enabled","Packstation aktiviert"
"Customer pre-fill notice Enabled","Kunden Autofill-Information aktiviert"
"Display a pre-fill notice to registered customer before submitting details to Kustom. The customer must accept the notice before continuing checkout.","Zeigt eine Information zur automatischen Vervollständigung der Anschrift an, bevor die Daten des registrierten Kunden an Kustom übermittelt werden. Kunden müssen die Information akzeptieren, bevor sie fortsetzen können. "
"Checkbox Id","Checkbox ID"
"Checked By Default","Checkbox automatisch ausgewählt"
"Required By Default","Checkbox obligatorisch"
"Checkbox Text","Text in der Checkbox"
"Invalid Kustom API Credentials. Please check your Merchant ID, Shared Secret, and selected API Version.","Ungültige Kustom API Anmeldedaten. Bitte prüfen Sie Ihre Händler ID, das Passwort und die ausgewählte API-Version. "
"Order processed by Kustom.","Bestellung wurde von Kustom verarbeitet."
"Acknowledge call failed. Check log for details.","Bestätigungsanfrage missglückt. Überprüfen Sie die Protokolldatei auf Details."
"Kustom order id required for update","Kustom Bestellnummer nötig für Update"
"Kustom order is already finished.","Kustom Bestellung ist bereits abgeschlossen."
Select,Wählen
"Kustom Checkout module api configuration warning:","Kustom Checkout Modul API-Konfigurationswarnung:"
"You cannot use both Kustom Checkout and Kustom Payments in the same website. Please disable one of them and try again.","Sie können nicht gleichzeitig Kustom Checkout und Kustom Payments auf derselben Webseite nutzen. Bitte deaktivieren Sie eins von beiden und versuchen Sie es erneut."
"Store(s) affected: ","Betroffene Stores: "
"When using Kustom Checkout, please select a “Kustom Checkout” API version instead of a “Kustom Payments” one.","Wenn Sie Kustom Checkout nutzen, wählen Sie bitte eine ""Kustom Checkout"" API-Version anstelle einer ""Kustom Payments""-Version."
"Kustom Checkout title mandatory warning:","Warnung: Kustom Checkout Titel obligatorisch:"
"The title value from the Kustom Checkout and customer settings are incorrectly configured. Either they should both be required or you can leave the setting as optional under customer settings. However, if the setting is “required” under customer settings then it must be set to “required” under Kustom Checkout as well.","Der Titelwert aus den Kustom Checkout- und Kundeneinstellungen ist ungültig konfiguriert. Entweder sollten beide erforderlich sein, oder Sie können die Einstellung unter den Kundeneinstellungen als optional belassen. Wenn die Einstellung unter den Kundeneinstellungen jedoch „obligatorisch“ ist, muss sie auch unter Kustom Checkout auf „obligatorisch“ gesetzt werden."
"Click here to go to <a href=""%1"">Kustom Checkout Configuration</a> and change your settings.","Klicken Sie hier, um zur <a href=""%1"">Kustom Checkout Konfiguration</a> zu gelangen und Ihre Einstellungen zu ändern."
"Kustom Checkout phone mandatory warning:","Warnung: Kustom Checkout Telefonnummer obligatorisch:"
"The phone value from the Kustom Checkout and customer settings are incorrectly configured. Either they should both be required or you can leave the setting as optional under customer settings. However, if the setting is “required” under customer settings then it must be set to “required” under Kustom Checkout as well.","Der Wert für die Telefonnummer aus den Kustom Checkout- und Kundeneinstellungen ist ungültig konfiguriert. Entweder sollten beide erforderlich sein, oder Sie können die Einstellung unter den Kundeneinstellungen als optional belassen. Wenn die Einstellung unter den Kundeneinstellungen jedoch „obligatorisch“ ist, muss sie auch unter Kustom Checkout auf „obligatorisch“ gesetzt werden."
"Kustom Checkout date of birth mandatory warning:","Warnung: Kustom Checkout Geburtsdatum obligatorisch:"
"The date of birth value from the Kustom Checkout and customer settings are incorrectly configured. Either they should both be required or you can leave the setting as optional under customer settings. However, if the setting is “required” under customer settings then it must be set to “required” under Kustom Checkout as well.","Der Wert für das Geburtsdatum aus den Kustom Checkout- und Kundeneinstellungen ist ungültig konfiguriert. Entweder sollten beide erforderlich sein, oder Sie können die Einstellung unter den Kundeneinstellungen als optional belassen. Wenn die Einstellung unter den Kundeneinstellungen jedoch „obligatorisch“ ist, muss sie auch unter Kustom Checkout auf „obligatorisch“ gesetzt werden."
"Update Payment Status","Zahlungsstatus aktualisieren"
"Shipping Methods",Versandoptionen
"Select Method","Option wählen"
Price,Preis
"Method Title","Name der Option"
"Carrier Title",Versandunternehmen
"Sorry, no quotes are available for this order at this time","Leider sind derzeit keine Angebote für diese Bestellung verfügbar"
"No shipping methods available for entered address","Für die angegebene Adresse sind keine Versandoptionen verfügbar"
"Additional payment methods not processed through Kustom, e.g. PayPal, that can be included on the Kustom checkout page. Make sure to enable the specific payment method first for it to show up in the list","Zusätzliche Zahlungsmethoden wie z.B. PayPal, die nicht über Kustom abgewickelt, aber auf der Kustom-Checkout-Seite inkludiert werden können. Stellen Sie sicher, dass Sie zuerst die jeweilige Zahlungsmethode aktivieren, damit sie in der Liste angezeigt wird."
"URL to cancellation terms","Link zu den Stornierungsbedingungen"
"URL to this store's own cancellation terms and conditions.","Link zu den Stornierungsbedingungen des Shops."
"URL to redirect for checkout failures","Link zur Weiterleitung bei Fehlern im Checkout"
"Must be a fully qualified URL. If left blank, defaults to the cart URL.","Muss ein vollständiger Link sein. Wenn das Feld leer gelassen wird, erfolgt eine Weiterleitung zum Warenkorb."
"Shipping methods in iframe","Versandoptionen im Iframe"
"Display shipping methods in Kustom iframe. (This is ignored and forced to 'no' in some markets)","Zeige Versandoptionen im Kustom Iframe an (Dies wird in einigen Märkten ignoriert und automatisch auf ""Nein"" gestellt)"
"Customer pre-fill notice","Information zur Autovervollständigung für Kunden"
"Display a pre-fill notice to registered customer before submitting details to Kustom. The customer must accept the notice to have their account details shared with Kustom.","Zeigt registrierten Kunden eine Information zur Autovervollständigung an, bevor Daten an Kustom übermittelt werden. Der Kunde muss die Benachrichtigung akzeptieren, damit die Kundenkontoangaben mit Kustom geteilt werden."
"National identification number mandatory","Nationale Identifikationsnummer obligatorisch"
"Telephone number mandatory","Telefonnummer obligatorisch"
